artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Rainbow Kitten Surprise,RKS,Cocaine Jesus,0ZAbupc7jAQpG9IxojQ3s3,0.822,0.362,2,-7.462,1,0.0411,0,0.313,0.159,119.903,229667,4,Grace.earley,lumineers vibes and other bops,Uday
Mt. Joy,Mt. Joy,Jenny Jenkins,7I0Ep2xYqltHpke3Kg0WPT,0.729,0.406,8,-9.388,1,0.0533,0,0.114,0.177,127.954,199387,4,Grace.earley,lumineers vibes and other bops,Uday
Hozier,Hozier (Expanded Edition),Cherry Wine - Live,1C042FLYy7rP3MfnkOcnha,0.415,0.11,1,-14.901,1,0.0388,0.00236,0.0962,0.234,81.876,240147,4,Grace.earley,lumineers vibes and other bops,Uday
Of Monsters and Men,My Head Is An Animal,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,1,-5.177,1,0.032,0,0.146,0.417,102.961,266600,4,Grace.earley,lumineers vibes and other bops,Uday
Henry Jamison,The Wilds,Real Peach,6p4mASLulKdpNFLxQhs0ff,0.579,0.559,1,-7.338,1,0.0325,0.000206,0.0817,0.328,151.985,233289,4,Grace.earley,lumineers vibes and other bops,Uday
Hippo Campus,Bambi,Bambi,5dmPNuHmRRJuHmJTDa7NuJ,0.739,0.471,8,-8.456,1,0.0436,9.78e-05,0.116,0.31,90.002,194400,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,III,Leader Of The Landslide,4BzYMqZUzXpLz6TULBkAFI,0.46,0.437,1,-8.822,1,0.0416,1.65e-05,0.283,0.119,127.318,354840,5,Grace.earley,lumineers vibes and other bops,Uday
Young the Giant,Mirror Master,Heat of the Summer,649o53ULWYN1y7V2OI5kgo,0.602,0.856,7,-5.558,1,0.0458,2.97e-06,0.098,0.895,80.021,211387,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Sleep On The Floor,5MMZJtHOiH1RmQSSe3DJdg,0.389,0.431,7,-8.061,1,0.0344,0,0.13,0.275,142.14,211851,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,The Lumineers,Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,0.598,0.56,0,-11.679,1,0.0375,0.0432,0.196,0.221,115.01,279000,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Classy Girls (B Version),Classy Girls (B Version),0F2LqbCrPxdwtBXTXjjbtZ,0.396,0.53,9,-9.017,1,0.037,0.000101,0.0924,0.419,119.076,165878,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,0.664,0.573,5,-6.519,1,0.0277,0.000363,0.0857,0.566,76.023,160097,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Cleopatra,2ToW7zhGCrVrLU4fiKj9U1,0.536,0.775,8,-6.765,1,0.0394,0.000143,0.0947,0.485,151.393,201413,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Gun Song,02VxlOxetoqdcq2G7zHImz,0.683,0.713,7,-5.512,1,0.025,2.47e-05,0.0997,0.286,96.27,216547,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,In The Light,0Ulxa4or5zsSFIJc7rEao0,0.689,0.41,9,-9.629,1,0.0275,0.0276,0.1,0.248,97.725,231868,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Gale Song,31xsM9IYq8B2EWfiJUzyXW,0.357,0.326,0,-8.441,1,0.0302,0.000132,0.104,0.181,176.53,193720,3,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Long Way From Home,6C6xqMptwc0qjFo1KzCzX3,0.528,0.416,9,-8.523,1,0.0305,0.000276,0.0953,0.184,99.868,152280,5,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Sick In The Head,3u4pq1k2CliqRp0iI5JHI4,0.605,0.361,7,-11.787,1,0.0303,0.0718,0.339,0.398,124.087,151467,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Patience,5ONbCAFFnAJ0YGClEeddcU,0.477,0.236,4,-16.991,1,0.0458,0.922,0.108,0.0982,138.361,97051,3,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,III,Life In The City,5WyL4ZuwJ06qVd8X5bf2b5,0.743,0.57,0,-7.376,1,0.0335,5.18e-05,0.0994,0.273,97.005,231360,3,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,III,It Wasn't Easy To Be Happy For You,2qhfWLkKqWripwiw8DJdGU,0.765,0.373,2,-5.321,1,0.0302,0,0.0949,0.379,89.099,214067,4,Grace.earley,lumineers vibes and other bops,Uday
