artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Dustin Lynch,Current Mood,Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,0.554,0.743,9,-6.016,1,0.0287,0,0.359,0.673,72.997,205733,4,Ctomko3,country,Cameron Tomko
Zac Brown Band,You Get What You Give (Deluxe),Knee Deep (feat. Jimmy Buffett),0b2IVjeD268pYd7VUhmtKI,0.715,0.584,8,-8.231,1,0.0296,1.41e-06,0.095,0.609,90.99,203173,4,Ctomko3,country,Cameron Tomko
LANCO,Hallelujah Nights,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,0.669,0.617,10,-8.72,1,0.057,0,0.119,0.621,147.992,222573,4,Ctomko3,country,Cameron Tomko
Midland,On The Rocks,Drinkin' Problem,1vBpwxsLVwaR4evBIaFmqD,0.622,0.763,9,-6.4,1,0.0263,8.91e-06,0.313,0.621,102.0,220800,4,Ctomko3,country,Cameron Tomko
Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),Forever After All,6IBcOGPsniK3Pso1wHIhew,0.487,0.65,0,-5.195,1,0.0253,0,0.0933,0.456,151.964,232533,4,Ctomko3,country,Cameron Tomko
Parker McCollum,Pretty Heart,Pretty Heart,6vC90OOjZR165Hw8CpsqEm,0.562,0.683,7,-4.427,1,0.0296,0,0.107,0.385,132.003,244798,4,Ctomko3,country,Cameron Tomko
Lee Brice,One Of Them Girls,One Of Them Girls,14GwnOeC9qYEKEA6uOZepa,0.643,0.79,4,-6.079,1,0.0462,0,0.107,0.8,95.987,188893,4,Ctomko3,country,Cameron Tomko
Kenny Chesney,Songs for the Saints,Get Along,6n6OQfBpCgzF9oEg8zhBN7,0.632,0.804,7,-6.109,1,0.0503,0,0.17,0.35,92.456,199625,4,Ctomko3,country,Cameron Tomko
Josh Turner,Deep South,Hometown Girl,5C6uh95eAL0RBTSGXKQwvk,0.502,0.792,3,-5.473,0,0.0335,0.0385,0.143,0.44,155.902,215080,4,Ctomko3,country,Cameron Tomko
HIXTAPE,HIXTAPE: Vol. 1,ONE BEER (feat. Lauren Alaina & Devin Dawson),5FmvaZGd6fulojSToozLRD,0.516,0.745,2,-8.352,1,0.0774,0,0.275,0.826,186.006,173173,3,Ctomko3,country,Cameron Tomko
Logan Mize,Who Didn't,Who Didn't,7JAU3QUfAaEm2fjepyRBWd,0.551,0.879,10,-3.998,1,0.0426,0,0.134,0.834,147.911,177408,4,Ctomko3,country,Cameron Tomko
Lee Brice,Memory I Don't Mess With,Memory I Don't Mess With,7BQE1P0NUalHSvFtrxasx9,0.617,0.704,6,-7.61,0,0.0258,0,0.0924,0.57,91.541,180617,4,Ctomko3,country,Cameron Tomko
Morgan Wallen,Still Goin Down,Still Goin Down,096YtKWNRXdmYKFLelSBto,0.58,0.751,7,-5.078,1,0.0267,0,0.277,0.718,148.108,186293,4,Ctomko3,country,Cameron Tomko
Morgan Wallen,If I Know Me,Talkin' Tennessee,7szRiHu6r91o2Po9GTPN4c,0.702,0.711,6,-6.697,0,0.0248,0,0.104,0.498,99.988,221880,4,Ctomko3,country,Cameron Tomko
