playlist_name,playlist_link,user,danceability_var,danceability_mean,danceability_max,danceability_min,energy_var,energy_mean,energy_max,energy_min,key_var,key_mean,key_max,key_min,loudness_var,loudness_mean,loudness_max,loudness_min,mode_var,mode_mean,mode_max,mode_min,speechiness_var,speechiness_mean,speechiness_max,speechiness_min,instrumentalness_var,instrumentalness_mean,instrumentalness_max,instrumentalness_min,liveness_var,liveness_mean,liveness_max,liveness_min,valence_var,valence_mean,valence_max,valence_min,tempo_var,tempo_mean,tempo_max,tempo_min,duration_ms_var,duration_ms_mean,duration_ms_max,duration_ms_min,time_signature_var,time_signature_mean,time_signature_max,time_signature_min
70s Soul Classics,https://open.spotify.com/playlist/37i9dQZF1DWULEW2RfoSCi?si=b58969c051a744b8,Public 17,0.022211311,0.620021277,0.913,0.283,0.025587988,0.580765957,0.969,0.242,13.67696179,5.978723404,11,0,6.824519197,-10.06145745,-4.365,-18.248,0.245367193,0.585106383,1,0,0.001630837,0.060408511,0.225,0.0247,0.024026459,0.042848791,0.86,0,0.02736559,0.178287234,0.901,0.0279,0.032763051,0.743787234,0.971,0.178,943.0983016,119.5064681,207.265,71.576,9467352529,254906.4787,830400,125093,0.050903683,3.946808511,4,3
Chill Vibes,https://open.spotify.com/playlist/37i9dQZF1DX889U0CL85jj?si=08e600ec57cc4f18,Public 12,0.020060433,0.57147,0.903,0.201,0.028261186,0.432392,0.8,0.0714,10.68121212,4.84,11,0,10.9435207,-10.73813,-4.314,-22.641,0.21979798,0.68,1,0,0.001602975,0.056823,0.218,0.0243,0.116252963,0.238440199,0.948,0,0.018765163,0.174262,0.824,0.0501,0.048440345,0.350124,0.958,0.0353,833.5446166,114.52356,203.852,62.895,3543079512,217515.33,423347,106867,0.094545455,3.92,5,3
In the Name of the Blues: Joanne Shaw Taylor Takeover,https://open.spotify.com/playlist/37i9dQZF1DXcnkReojaCnV?si=40a228da2ba747ed,Public 17,0.018425786,0.564431818,0.815,0.291,0.041834276,0.709159091,0.967,0.24,13.92970402,5.522727273,11,0,6.21000601,-5.837613636,-1.455,-13.475,0.213002114,0.704545455,1,0,0.00098583,0.050025,0.161,0.0255,0.013698342,0.043479149,0.628,0,0.029294213,0.216831818,0.675,0.0454,0.038812317,0.607909091,0.931,0.157,1041.37795,128.0602955,203.727,80.29,2832570079,253045.3409,427773,178437,0.084566596,3.909090909,4,3
text me back,https://open.spotify.com/playlist/37i9dQZF1DXcbAIldMQMIs?si=7f9e9b6341a742f8,Public 19,0.017826153,0.630857143,0.91,0.216,0.04240136,0.511552857,0.929,0.0274,13.36728778,5.228571429,11,0,12.27782603,-8.727357143,-3.593,-21.552,0.153416149,0.814285714,1,0,0.005599558,0.077608571,0.398,0.0238,0.036587746,0.067751118,0.946,0,0.01116075,0.167338571,0.522,0.0266,0.050962138,0.438604286,0.902,0.0644,786.7609527,119.0435286,187.308,75.67,2440776126,189436.7,316556,68523,0.102691511,3.885714286,4,3
creamy,https://open.spotify.com/playlist/37i9dQZF1DXdgz8ZB7c2CP?si=51dc6a1249344a64,Public 12,0.020260687,0.5974,0.841,0.157,0.030807881,0.64809,0.994,0.222,13.20969697,5.68,11,0,9.064378165,-6.62542,-1.212,-19.774,0.250909091,0.46,1,0,0.013319922,0.123955,0.61,0.0275,0.087744262,0.203231907,0.914,0,0.017997151,0.183758,0.671,0.04,0.042144421,0.284732,0.832,0.034,665.838119,126.88912,179.648,75.012,1886679280,210581.17,354709,102400,0.336464646,3.87,5,1
lofi beats,https://open.spotify.com/playlist/37i9dQZF1DWWQRwui0ExPn?si=03732cd3285643a9,Public 12,0.010149194,0.67691,0.909,0.398,0.019935738,0.391371,0.84,0.039,11.44888889,5.84,11,0,12.03019323,-11.42423,-3.43,-22.233,0.252121212,0.48,1,0,0.009736092,0.100992,0.51,0.024,0.043965403,0.7746417,0.955,0.00267,0.016809538,0.156681,0.801,0.0666,0.050466601,0.448178,0.944,0.0382,1537.408495,110.92697,221.881,60.001,774504836.6,139817.42,253091,70075,0.11020202,3.97,5,1
Peaceful Piano,https://open.spotify.com/playlist/37i9dQZF1DX4sWSpwq3LiO?si=d9a47c07db6f44c7,Public 19,0.006750058,0.38423,0.58,0.189,0.000868163,0.044348,0.121,0.00396,12.74454545,5.27,11,0,9.522753438,-27.01642,-17.398,-37.043,0.22979798,0.65,1,0,5.76E-05,0.043353,0.0686,0.0307,0.001152604,0.92361,0.975,0.759,0.000362269,0.108215,0.211,0.0709,0.014257477,0.232589,0.551,0.0412,1214.104417,109.16108,206.686,53.484,938309917.7,146627.4,234716,73679,0.654949495,3.54,5,1
Jazz in the Background,https://open.spotify.com/playlist/37i9dQZF1DWV7EzJMK2FUI?si=8609860f38184df2,Public 12,0.005719335,0.47959,0.643,0.294,0.00175712,0.152297,0.28,0.0576,12.2020202,5.4,10,0,3.469246171,-17.41253,-12.934,-24.843,0.235454545,0.63,1,0,2.37E-05,0.038534,0.0574,0.0286,0.054670825,0.80909709,0.983,0.000609,0.006205145,0.143449,0.375,0.0749,0.004432856,0.168173,0.379,0.0507,700.542289,107.56131,177.73,48.731,1840068921,222690.23,404107,134488,0.184242424,3.76,4,3
Funk & Soul Classics,https://open.spotify.com/playlist/37i9dQZF1DWWvhKV4FBciw?si=b987df7ea3064c28,Public 19,0.020354834,0.6665375,0.886,0.257,0.032242096,0.592175,0.975,0.22,14.07025316,5.175,11,0,7.272113429,-10.0111625,-3.369,-16.516,0.230379747,0.65,1,0,0.000903597,0.05519125,0.171,0.0247,0.032666621,0.052458496,0.949,0,0.010963612,0.14586,0.538,0.0248,0.029862977,0.7703125,0.979,0.304,727.8736383,116.64985,207.356,75.143,5395361934,209006.375,544640,121080,0.036550633,3.9625,4,3
Chillin' on a Dirt Road,https://open.spotify.com/playlist/37i9dQZF1DWTkxQvqMy4WW?si=fa2932109e814d8d,Public 12,0.010220499,0.5865875,0.801,0.333,0.025381918,0.685575,0.931,0.225,11.24303797,6.15,11,0,3.034707043,-5.6080875,-2.183,-10.888,0.036550633,0.9625,1,0,0.000488757,0.04008875,0.191,0.0241,2.33E-06,0.000337375,0.0096,0,0.012575476,0.16737125,0.63,0.026,0.034269972,0.58245,0.946,0.137,1168.987074,115.2836375,203.803,48.718,969696942.1,208676.1375,300333,161853,0.048101266,3.95,4,3
Blues Classics,https://open.spotify.com/playlist/37i9dQZF1DXd9rSDyQguIk?si=9c0e71a178034120,Public 19,0.018628637,0.566171429,0.872,0.277,0.031197863,0.51496,0.921,0.0192,15.05921325,4.885714286,11,0,13.05478255,-11.04071429,-5.219,-21.57,0.19378882,0.742857143,1,0,0.001058152,0.054882857,0.179,0.0247,0.0412883,0.094350845,0.896,0,0.020207061,0.190535714,0.867,0.0284,0.031521251,0.705628571,0.966,0.335,1069.299889,124.4927857,208.576,53.905,7897073422,240804.0143,517400,141933,0.28757764,3.728571429,4,1
80s Party,https://open.spotify.com/playlist/37i9dQZF1DX6xnkAwJX7tn?si=a69ed52f15804b3c,Public 20,0.016151462,0.69595,0.965,0.358,0.025531028,0.74711,0.988,0.271,13.01454545,4.66,11,0,10.05020921,-8.4866,-2.986,-15.557,0.226666667,0.66,1,0,0.000946787,0.053125,0.179,0.0259,0.016869442,0.041671967,0.784,0,0.034587696,0.178354,0.989,0.0212,0.031920947,0.77968,0.978,0.188,435.8492815,123.06933,184.348,76.961,2082244885,243273.98,378947,153800,0.01,4.01,5,4
Classical Essentials,https://open.spotify.com/playlist/37i9dQZF1DWWEJlAGA9gs0?si=9261e1acb24645a4,Public 20,0.015690089,0.245501,0.701,0,0.007502801,0.0955867,0.341,0.00261,11.78777778,5.49,11,0,38.06184383,-23.46938,-12.26,-42.238,0.237979798,0.62,1,0,7.09E-05,0.043832,0.067,0,0.072094513,0.739564324,0.945,0,0.00501845,0.119628,0.466,0.0423,0.017604333,0.122955,0.719,0,1014.251073,102.96142,185.678,0,61874643948,427813.79,1252322,84267,0.654949495,3.54,5,0
chill lofi study beats,https://open.spotify.com/playlist/37i9dQZF1DX8Uebhn9wzrS?si=44a2c29d9ecd454b,Public 20,0.007516856,0.71535,0.915,0.356,0.022432579,0.314822,0.717,0.0505,13.73292929,5.62,11,0,13.42237314,-12.69853,-6.468,-24.059,0.252121212,0.48,1,0,0.005711447,0.090576,0.506,0.0302,0.02359637,0.83621,0.956,0.203,0.008698716,0.137521,0.72,0.0667,0.039202881,0.381933,0.938,0.0396,1142.499587,105.96164,175.827,60.009,656247908.6,133038.66,250303,86000,0.207171717,3.93,5,1
Disney Favorites,https://open.spotify.com/playlist/37i9dQZF1DWVs8I62NcHks?si=28bd215337e84eaf,Public 20,0.023399489,0.503231707,0.912,0.162,0.03978591,0.486676829,0.941,0.0655,12.46973803,4.780487805,11,0,13.90822255,-9.582536585,-4.466,-19.549,0.186690756,0.756097561,1,0,0.007493983,0.083793902,0.401,0.0241,1.82E-05,0.000956356,0.0319,0,0.019786956,0.167045122,0.908,0.0305,0.059427324,0.439680488,0.962,0.0558,957.185496,114.1391341,205.863,65.136,2687275578,181157.3293,333265,63864,0.096356519,3.951219512,5,3
SALT,https://open.spotify.com/playlist/37i9dQZF1DX6tPTxr8qwRe?si=c42b258fe2814ef3,Public 20,0.019091094,0.657986667,0.888,0.323,0.025249712,0.63952,0.92,0.252,11.76144144,6.093333333,11,0,3.904273599,-6.114573333,-1.948,-11.096,0.252252252,0.466666667,1,0,0.005640531,0.096169333,0.39,0.029,0.000708835,0.004437965,0.195,0,0.023623044,0.205097333,0.764,0.0512,0.036983907,0.575106667,0.963,0.163,1035.26408,128.3559067,184.237,71.797,599060609,159785.5067,212520,116910,0.09009009,3.933333333,5,3
Summer Hits,https://open.spotify.com/playlist/37i9dQZF1DX1gRalH1mWrP?si=c4d56e24365644b5,Public 21,0.014224308,0.72107,0.95,0.345,0.015558528,0.69876,0.965,0.41,14.91666667,5.15,11,0,3.68137803,-5.75948,-2.653,-14.374,0.244343434,0.59,1,0,0.005462253,0.090428,0.34,0.0259,4.99E-05,0.001816635,0.0542,0,0.013625071,0.177239,0.688,0.0413,0.047375298,0.595007,0.972,0.0557,504.8578898,119.31824,179.773,77.471,1344601415,186818.81,336924,97393,0.058989899,3.96,5,3
Heavy Metal,https://open.spotify.com/playlist/37i9dQZF1DX9qNs32fujYe?si=ab631dfd96a6448c,Public 1,0.012665537,0.45109,0.684,0.15,0.009117323,0.89201,0.997,0.445,10.91070707,5.28,11,0,5.810469287,-5.84181,-1.914,-13.615,0.248888889,0.56,1,0,0.002593844,0.080313,0.304,0.0279,0.030027813,0.070518119,0.843,0,0.028506194,0.214911,0.788,0.0283,0.035367126,0.416772,0.924,0.0379,869.5042727,125.81233,194.763,67.197,5846673587,261777.02,675653,147840,0.058989899,3.96,5,3
Old School Metal,https://open.spotify.com/playlist/37i9dQZF1DX2LTcinqsO68?si=c51f2f9bbd5949cf,Public 1,0.017071782,0.42966,0.768,0.166,0.011909947,0.85125,0.995,0.586,12.70090909,5.31,11,0,6.630960169,-7.36582,-2.97,-13.928,0.246060606,0.58,1,0,0.003297925,0.079273,0.316,0.0254,0.037430137,0.085042872,0.897,0,0.027103795,0.202402,0.769,0.0283,0.044645113,0.491804,0.922,0.0379,769.6476972,131.10117,198.117,78.217,5752416269,276234.35,515387,102080,0.01979798,3.98,4,3
Grunge Forever,https://open.spotify.com/playlist/37i9dQZF1DX11ghcIxjcjE?si=cde24193bdd748bb,Public 1,0.015316626,0.390133333,0.662,0.163,0.033863298,0.7807,0.985,0.246,11.43813559,5.05,11,0,5.698021592,-7.774366667,-2.749,-14.011,0.190677966,0.75,1,0,0.000450467,0.046646667,0.107,0.0251,0.040365682,0.090444298,0.795,0,0.017496193,0.1683,0.76,0.0418,0.039893866,0.432973333,0.911,0.0784,960.3550894,126.1561667,204.824,75.009,3502645881,261167.0167,384467,152707,0.077683616,3.916666667,4,3
Alt NOW,https://open.spotify.com/playlist/37i9dQZF1DWVqJMsgEN0F4?si=67cdf30af6cc471c,Public 1,0.016124358,0.59036,0.96,0.202,0.020340698,0.75058,0.987,0.365,12.09836735,4.94,11,0,4.308890725,-5.49164,-2.31,-11.43,0.244897959,0.6,1,0,0.001212219,0.052996,0.192,0.0271,0.013043214,0.037413275,0.658,0,0.013200914,0.166862,0.522,0.0418,0.046874653,0.55,0.955,0.155,766.148758,125.3042,194.876,80.981,2649793101,203789.46,443853,129120,0.05755102,3.94,4,3
Nu Metal Era,https://open.spotify.com/playlist/37i9dQZF1DXcfZ6moR6J0G?si=8c9a82cf8e8d401a,Public 1,0.014311766,0.488825,0.736,0.206,0.003594484,0.91535,0.996,0.696,13.31898734,5.35,11,0,1.798039972,-4.51755,-2.375,-8.165,0.212658228,0.7,1,0,0.00443772,0.09814125,0.442,0.0324,0.033356199,0.061228752,0.828,0,0.027906344,0.23655,0.886,0.0583,0.038652645,0.4566125,0.938,0.101,787.5355921,119.1353,196.143,71.841,1583830262,217575.2875,311987,142867,0.037816456,3.9875,5,3
Viva Latino,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva?si=f4087d11495c4e34,Public 2,0.008669249,0.76534,0.951,0.592,0.014611658,0.67866,0.878,0.429,16.70408163,4.9,11,0,2.908091643,-5.0783,-0.722,-9.335,0.251428571,0.56,1,0,0.010512654,0.122036,0.448,0.0237,0.003741158,0.012393707,0.417,0,0.010192959,0.15396,0.464,0.0543,0.042859762,0.56844,0.933,0.187,851.4448774,120.22486,197.635,89.967,1052004570,192505,303627,112572,0.081632653,4,5,3
Fuego,https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo?si=198b06124d274f98,Public 2,0.016734167,0.7174,0.877,0.446,0.01335344,0.68876,0.858,0.475,20,6.4,11,0,3.73100676,-5.27552,-0.722,-8.797,0.26,0.52,1,0,0.011356742,0.154268,0.448,0.0372,9.34E-05,0.003502453,0.0361,0,0.022270694,0.217168,0.628,0.055,0.037563673,0.54244,0.966,0.201,1051.75414,126.06224,179.979,85.84,1071969049,184661.92,243623,117680,0.04,3.96,4,3
el nuevo pop,https://open.spotify.com/playlist/37i9dQZF1DX8womvTyUjrN?si=84c66efc0d5c4651,Public 2,0.019457194,0.7125,0.952,0.386,0.022545147,0.66742,0.922,0.338,12.65346939,5.86,11,0,4.676557528,-5.91532,-2.932,-12.901,0.248571429,0.58,1,0,0.006696838,0.107186,0.321,0.0318,0.000340263,0.005092148,0.0962,0,0.02074093,0.174516,0.796,0.0573,0.039170398,0.59636,0.961,0.123,1063.597128,124.97064,203.321,67.488,797647034.3,179234,274437,127662,0.060816327,3.98,5,3
